establishment_number,establishment_id,establishment_name,active_meat_grant,last_meat_grant_edit_date,active_voluntary_grant,last_voluntary_grant_edit_date,active_poultry_grant,last_poultry_grant_edit_date,active_egg_grant,last_egg_grant_edit_date,meat_harvest_cell_cultured,meat_harvest_cell_cultured_last_edit_date,meat_further_process_cell_cultured,meat_further_process_cell_cultured_last_edit_date,poultry_harvest_cell_cultured,poultry_harvest_cell_cultured_last_edit_date,poultry_further_process_cell_cultured,poultry_further_process_cell_cultured_last_edit_date,inspection_system_head_attached,inspection_system_head_detached,inspection_system_nels,inspection_system_not_specified,inspection_system_nti1,inspection_system_nti1_modified,inspection_system_nti2,inspection_system_nti2_modified,inspection_system_sis,inspection_system_traditional,inspection_system_viscera_table_tongue_in,inspection_system_viscera_table_tongue_out,inspection_system_viscera_truck,inspection_system_npis,inspection_system_npis_waiver,inspection_system_nsis,meat_exemption_custom_processing,meat_exemption_custom_slaughter,meat_exemption_retail,meat_exemption_religious,meat_exemption_religious_halal,meat_exemption_religious_kosher,meat_exemption_religious_other,poultry_exemption_custom_processing,poultry_exemption_custom_slaughter,poultry_exemption_retail,poultry_exemption_religious,poultry_exemption_religious_buddhist,poultry_exemption_religious_confucian,poultry_exemption_religious_islamic,poultry_exemption_religious_kosher,slaughter,processing,meat_slaughter,beef_cow_slaughter,steer_slaughter,heifer_slaughter,bull_stag_slaughter,dairy_cow_slaughter,heavy_calf_slaughter,bob_veal_slaughter,formula_fed_veal_slaughter,non_formula_fed_veal_slaughter,market_swine_slaughter,sow_slaughter,roaster_swine_slaughter,boar_stag_swine_slaughter,stag_swine_slaughter,feral_swine_slaughter,goat_slaughter,young_goat_slaughter,adult_goat_slaughter,sheep_slaughter,lamb_slaughter,deer_reindeer_slaughter,antelope_slaughter,elk_slaughter,bison_slaughter,buffalo_slaughter,water_buffalo_slaughter,cattalo_slaughter,yak_slaughter,other_voluntary_livestock_slaughter,rabbit_slaughter,poultry_slaughter,young_chicken_slaughter,light_fowl_slaughter,heavy_fowl_slaughter,capon_slaughter,young_turkey_slaughter,young_breeder_turkey_slaughter,old_breeder_turkey_slaughter,fryer_roaster_turkey_slaughter,duck_slaughter,goose_slaughter,pheasant_slaughter,quail_slaughter,guinea_slaughter,ostrich_slaughter,emu_slaughter,rhea_slaughter,squab_slaughter,other_voluntary_poultry_slaughter,rte_processing,nrte_processing,raw_intact_processing,raw_non_intact_processing,meat_processing,rte_meat_processing,nrte_meat_processing,raw_intact_meat_processing,raw_non_intact_meat_processing,poultry_processing,rte_poultry_processing,nrte_poultry_processing,raw_intact_poultry_processing,raw_non_intact_poultry_processing,egg_processing,rte_egg_processing,raw_non_intact_egg_processing,siluriformes_processing,rte_siluriformes_processing,nrte_siluriformes_processing,raw_intact_siluriformes_processing,raw_non_intact_siluriformes_processing,unspecified_processing,rte_unspecified_processing,nrte_unspecified_processing,raw_intact_unspecified_processing,raw_non_intact_unspecified_processing,slaughter_or_processing_only,slaughter_only_class,slaughter_only_species,meat_slaughter_only_species,poultry_slaughter_only_species,processing_only_category,processing_only_class,processing_only_species,meat_processing_only_species,poultry_processing_only_species,beef_processing,pork_processing,antelope_processing,bison_processing,buffalo_processing,deer_processing,elk_processing,goat_processing,other_voluntary_livestock_processing,rabbit_processing,reindeer_processing,sheep_processing,yak_processing,unspecified_meat_processing,rte_beef_processing,rte_pork_processing,rte_antelope_processing,rte_bison_processing,rte_buffalo_processing,rte_deer_processing,rte_elk_processing,rte_goat_processing,rte_other_voluntary_livestock_processing,rte_rabbit_processing,rte_reindeer_processing,rte_sheep_processing,rte_yak_processing,rte_unspecified_meat_processing,nrte_beef_processing,nrte_pork_processing,nrte_antelope_processing,nrte_bison_processing,nrte_buffalo_processing,nrte_deer_processing,nrte_elk_processing,nrte_goat_processing,nrte_other_voluntary_livestock_processing,nrte_rabbit_processing,nrte_reindeer_processing,nrte_sheep_processing,nrte_yak_processing,nrte_unspecified_meat_processing,raw_intact_beef_processing,raw_intact_pork_processing,raw_intact_antelope_processing,raw_intact_bison_processing,raw_intact_buffalo_processing,raw_intact_deer_processing,raw_intact_elk_processing,raw_intact_goat_processing,raw_intact_other_voluntary_livestock_processing,raw_intact_rabbit_processing,raw_intact_reindeer_processing,raw_intact_sheep_processing,raw_intact_yak_processing,raw_intact_unspecified_meat_processing,raw_non_intact_beef_processing,raw_non_intact_pork_processing,raw_non_intact_antelope_processing,raw_non_intact_bison_processing,raw_non_intact_buffalo_processing,raw_non_intact_deer_processing,raw_non_intact_elk_processing,raw_non_intact_goat_processing,raw_non_intact_other_voluntary_livestock_processing,raw_non_intact_rabbit_processing,raw_non_intact_reindeer_processing,raw_non_intact_sheep_processing,raw_non_intact_yak_processing,raw_non_intact_unspecified_meat_processing,chicken_processing,duck_processing,goose_processing,pigeon_processing,ratite_processing,turkey_processing,exotic_poultry_processing,other_voluntary_poultry_processing,unspecified_poultry_processing,rte_chicken_processing,rte_duck_processing,rte_goose_processing,rte_pigeon_processing,rte_ratite_processing,rte_turkey_processing,rte_exotic_poultry_processing,rte_other_voluntary_poultry_processing,rte_unspecified_poultry_processing,nrte_chicken_processing,nrte_duck_processing,nrte_goose_processing,nrte_pigeon_processing,nrte_ratite_processing,nrte_turkey_processing,nrte_exotic_poultry_processing,nrte_other_voluntary_poultry_processing,nrte_unspecified_poultry_processing,raw_intact_chicken_processing,raw_intact_duck_processing,raw_intact_goose_processing,raw_intact_pigeon_processing,raw_intact_ratite_processing,raw_intact_turkey_processing,raw_intact_exotic_poultry_processing,raw_intact_other_voluntary_poultry_processing,raw_intact_unspecified_poultry_processing,raw_non_intact_chicken_processing,raw_non_intact_duck_processing,raw_non_intact_goose_processing,raw_non_intact_pigeon_processing,raw_non_intact_ratite_processing,raw_non_intact_turkey_processing,raw_non_intact_exotic_poultry_processing,raw_non_intact_other_voluntary_poultry_processing,raw_non_intact_unspecified_poultry_processing,listeria_alternative,processing_volume_category,slaughter_volume_category,category_start_date,category_end_date,young_chicken_carcasses_category,young_turkey_carcasses_category,comminuted_chicken_category,comminuted_turkey_category,chicken_parts_category
G1016,126740,M.G. Waldbaum Company,,,,,,,Yes,2026-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Processing,,,,,RTE,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1028,195,Papetti's Hygrade Egg Products Inc.,,,,,,,Yes,2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Processing,,,,,RTE,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1105,126734,"American Egg Products, LLC",,,,,,,Yes,2014-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Processing,,,,,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1126A+V1126A,126639,Shepherds Processed Eggs,,,Yes,2023-11-07,,,Yes,2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Processing,,,,,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1126B,6164012,Shepherds Processed Eggs / Muscle Eggs,,,,,,,Yes,2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Processing,,,,,RTE,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
G1141,8204,"Wabash Valley Produce, Inc.",,,,,,,Yes,2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Processing,,,,,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alternative 3,5.0,,,,,,,,
G1183+V1183,8193,"Deb El Food Products, LLC",,,Yes,2017-03-08,,,Yes,2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Processing,,,,,RTE,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1219,126663,Rose Acre Farms,,,,,,,Yes,2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Processing,,,,,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1223,126714,Siouxpreme Egg Products,,,,,,,Yes,2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Processing,,,,,RTE,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
G1253,8207,Cort Acres Breaker Plant,,,,,,,Yes,2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Processing,,,,,,Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
