establishment_number,beef_processing,pork_processing,chicken_processing,turkey_processing,duck_processing,sheep_processing,goat_processing,egg_processing,rte_processing,slaughter,processing_volume_category,slaughter_volume_category
G1016,,,,,,,,Yes,Yes,,5.0,
G1028,,,,,,,,Yes,Yes,,5.0,
G1105,,,,,,,,Yes,Yes,,5.0,
G1126A+V1126A,,,,,,,,Yes,Yes,,5.0,
G1126B,,,,,,,,Yes,Yes,,4.0,
G1141,,,,,,,,Yes,Yes,,5.0,
G1183+V1183,,,,,,,,Yes,Yes,,5.0,
G1219,,,,,,,,Yes,Yes,,5.0,
G1223,,,,,,,,Yes,Yes,,5.0,
G1253,,,,,,,,Yes,Yes,,5.0,
G1256+V1256,,,,,,,,Yes,Yes,,5.0,
G1264,,,,,,,,Yes,Yes,,5.0,
G1349,,,,,,,,Yes,Yes,,5.0,
G1415,,,,,,,,Yes,Yes,,5.0,
G1450A,,,,,,,,Yes,Yes,,4.0,
G1455+V1455,,,,,,,,Yes,Yes,,5.0,
G1486,,,,,,,,Yes,Yes,,5.0,
G1547,,,,,,,,Yes,Yes,,5.0,
G1579,,,,,,,,Yes,Yes,,5.0,
G1579A,,,,,,,,Yes,Yes,,5.0,
G1602+V1602,,,,,,,,Yes,Yes,,5.0,
G1606,,,,,,,,Yes,Yes,,5.0,
G1610,,,,,,,,Yes,Yes,,5.0,
G1612+V1612,,,,,,,,Yes,Yes,,5.0,
G1616,,,,,,,,Yes,Yes,,5.0,
G1620+V1620,,,,,,,,Yes,Yes,,5.0,
G1634,,,,,,,,Yes,Yes,,4.0,
G1673,,,,,,,,Yes,,,5.0,
G1704B,,,,,,,,Yes,,,5.0,
G1798,,,,,,,,Yes,,,5.0,
G20729,,,,,,,,Yes,,,5.0,
G20813+V20813,,,,,,,,Yes,Yes,,5.0,
G20865+V20865,,,,,,,,,,,,
G21040,,,,,,,,Yes,,,5.0,
G21395,,,,,,,,Yes,,,5.0,
G21597,,,,,,,,Yes,,,5.0,
G21683,,,,,,,,Yes,Yes,,5.0,
G21931,,,,,,,,Yes,Yes,,5.0,
G21932+V21936,,,,,,,,Yes,Yes,,5.0,
G2571,,,,,,,,Yes,Yes,,2.0,
G2665+V2665,,,,,,,,Yes,Yes,,4.0,
G31538,,,,,,,,Yes,,,5.0,
G31540+V31540,,,,,,,,Yes,Yes,,5.0,
G31542+V31542,,,,,,,,Yes,Yes,,5.0,
G31546+V31546,,,,,,,,Yes,,,5.0,
G31547,,,,,,,,Yes,,,5.0,
G31548,,,,,,,,Yes,Yes,,5.0,
G31556,,,,,,,,Yes,,,5.0,
G339+V339,,,,,,,,Yes,Yes,,5.0,
G34777,,,,,,,,Yes,,,5.0,
G3860,,,,,,,,,,,,
G420D+V420D,,,,,,,,Yes,Yes,,5.0,
G420G+V420G,,,,,,,,Yes,,,5.0,
G420L+V420L,,,,,,,,Yes,,,5.0,
G420M+V420M,,,,,,,,Yes,,,5.0,
G420+V420,,,,,,,,Yes,Yes,,5.0,
G45381+V45381,,,,,,,,Yes,Yes,,5.0,
G45702+V45702,,,,,,,,Yes,Yes,,5.0,
G46444,,,,,,,,Yes,Yes,,3.0,
G46493,,,,,,,,Yes,,,5.0,
G46528+V46528,,,,,,,,Yes,Yes,,5.0,
G46611,,,,,,,,Yes,,,5.0,
G46630,,,,,,,,Yes,Yes,,1.0,
G47106,,,,,,,,Yes,Yes,,4.0,
G47419,,,,,,,,Yes,Yes,,1.0,
G47819,,,,,,,,Yes,Yes,,5.0,
G48139,,,,,,,,Yes,Yes,,3.0,
G496,,,,,,,,Yes,Yes,,5.0,
G614,,,,,,,,Yes,,,5.0,
G778,,,,,,,,Yes,,,5.0,
G779,,,,,,,,Yes,Yes,,5.0,
G783,,,,,,,,Yes,Yes,,5.0,
G900,,,,,,,,Yes,,,5.0,
G926,,,,,,,,Yes,,,5.0,
I1,,,,,,,,,,,,
I10,,,,,,,,,,,,
I101,,,,,,,,,,,,
I102,,,,,,,,,,,,
I103,,,,,,,,,,,,
I1036+V1036,,,,,,,,,,,,
I105+V105,,,,,,,,,,,,
I107,,,,,,,,,,,,
I109,,,,,,,,,,,,
I11,,,,,,,,,,,,
I111,,,,,,,,,,,,
I112+V112,,,,,,,,,,,,
I113,,,,,,,,,,,,
I114,,,,,,,,,,,,
I115,,,,,,,,,,,,
I116+V116,,,,,,,,,,,,
I119,,,,,,,,,,,,
I121+V121,,,,,,,,,,,,
I123+V123,,,,,,,,,,,,
I124,,,,,,,,,,,,
I125+V19857,,,,,,,,,,,,
I126,,,,,,,,,,,,
I129,,,,,,,,,,,,
I13,,,,,,,,,,,,
I130+V47695,,,,,,,,,,,,
I133,,,,,,,,,,,,
I135,,,,,,,,,,,,
I138,,,,,,,,,,,,
I140,,,,,,,,,,,,
I141,,,,,,,,,,,,
I143,,,,,,,,,,,,
I149,,,,,,,,,,,,
I15,,,,,,,,,,,,
I151,,,,,,,,,,,,
I153,,,,,,,,,,,,
I154,,,,,,,,,,,,
I158,,,,,,,,,,,,
I16,,,,,,,,,,,,
